date,time,temp,hum
2021 10 15,23:05:25,29.8,84.8
2021 10 15,23:05:40,29.8,84.9
2021 10 15,23:05:56,29.8,84.8
2021 10 15,23:06:11,29.8,84.8
2021 10 15,23:06:27,29.8,84.8
2021 10 15,23:06:42,29.8,84.7
2021 10 15,23:07:03,29.8,84.8
2021 10 15,23:07:19,29.8,84.7
2021 10 15,23:07:44,29.7,84.5
2021 10 15,23:08:00,29.8,84.6
2021 10 15,23:08:18,29.8,84.6
2021 10 15,23:08:36,29.8,84.6
2021 10 15,23:08:51,29.7,84.5
2021 10 15,23:09:07,29.8,84.7
2021 10 15,23:09:23,29.8,85
2021 10 15,23:09:38,29.8,85
2021 10 15,23:09:54,29.8,85
2021 10 15,23:10:09,29.8,85.1
2021 10 15,23:10:32,29.8,85.4
2021 10 15,23:10:48,29.8,85.4
2021 10 15,23:11:14,29.8,85.4
2021 10 15,23:11:32,29.9,85.3
2021 10 15,23:11:52,29.9,85.4
2021 10 15,23:12:10,29.9,85.4
2021 10 15,23:12:26,29.9,85.4
2021 10 15,23:12:46,29.9,85.5
2021 10 15,23:13:02,29.9,85.4
2021 10 15,23:13:20,30,85.3
2021 10 15,23:13:36,30,85.3
2021 10 15,23:13:54,30,85.3
2021 10 15,23:14:17,30,85.2
2021 10 15,23:14:32,30,85.2
2021 10 15,23:14:48,30,85.2
2021 10 15,23:15:03,30,85.2
2021 10 15,23:15:19,30,85.1
2021 10 15,23:15:34,30,85.2
2021 10 15,23:15:50,30,85.4
2021 10 15,23:16:06,30,85.4
2021 10 15,23:16:26,30.1,85.5
2021 10 15,23:16:47,30.1,85.7
2021 10 15,23:17:02,30.1,85.5
2021 10 15,23:17:20,30,85.2
2021 10 15,23:17:36,30,85.2
2021 10 15,23:17:51,30,85.3
2021 10 15,23:18:07,30,85.4
2021 10 15,23:18:22,30,85.4
2021 10 15,23:18:38,30,85.4
2021 10 15,23:18:54,30,85.6
2021 10 15,23:19:09,30,86
2021 10 15,23:19:25,30,85.9
2021 10 15,23:19:45,30,85.7
2021 10 15,23:20:01,30,85.8
2021 10 15,23:20:16,30,85.7
2021 10 15,23:20:32,30,85.8
2021 10 15,23:20:52,30,85.9
2021 10 15,23:21:08,30,85.9
2021 10 15,23:21:31,30,86.1
2021 10 15,23:21:49,30,85.7
2021 10 15,23:22:17,30.1,85.8
2021 10 15,23:22:33,30.1,85.8
2021 10 15,23:22:56,30.1,85.7
2021 10 15,23:23:24,30,85.5
2021 10 15,23:23:40,30.1,85.6
2021 10 15,23:23:55,30,85.5
2021 10 15,23:24:24,30,85.5
2021 10 15,23:24:42,30,85.5
2021 10 15,23:24:57,30,85.5
2021 10 15,23:25:13,30,85.6
2021 10 15,23:25:28,30,85.7
2021 10 15,23:25:46,30,85.6
2021 10 15,23:26:04,30,85.7
2021 10 15,23:26:20,30,85.6
2021 10 15,23:26:35,30,85.6
2021 10 15,23:26:54,30,85.8
2021 10 15,23:27:19,30,85.7
2021 10 15,23:27:37,30,86.4
2021 10 15,23:27:53,30,86.3
2021 10 15,23:28:11,30,86.1
2021 10 15,23:28:26,30,86
2021 10 15,23:28:50,30,85.8
2021 10 15,23:29:05,30,85.9
2021 10 15,23:29:23,30,85.7
2021 10 15,23:29:39,30,85.7
2021 10 15,23:29:57,30,85.6
2021 10 15,23:30:12,29.9,85.6
2021 10 15,23:30:28,30,85.7
2021 10 15,23:30:43,30,85.6
2021 10 15,23:31:01,29.9,85.5
2021 10 15,23:31:17,30,85.6
2021 10 15,23:31:32,29.9,85.5
2021 10 15,23:31:48,30,85.6
2021 10 15,23:32:04,29.9,85.6
2021 10 15,23:32:24,30,85.6
2021 10 15,23:32:40,30,85.6
2021 10 15,23:32:55,30,85.5
2021 10 15,23:33:23,30,85.5
2021 10 15,23:33:39,30,85.5
2021 10 15,23:34:00,30,85.3
2021 10 15,23:34:18,30,85.4
2021 10 15,23:34:36,30,85.4
2021 10 15,23:34:56,30,85.4
2021 10 15,23:35:12,30,85.4
2021 10 15,23:35:27,30,85.4
2021 10 15,23:35:58,29.9,85.3
2021 10 15,23:36:14,29.9,85.4
2021 10 15,23:36:32,30,85.5
2021 10 15,23:36:47,29.9,85.4
2021 10 15,23:37:05,30,85.4
2021 10 15,23:37:23,30,85.5
2021 10 15,23:37:41,30,85.4
